trial,t,X1,X2,X3,X4,X5
9,4.90676353813241,13,11,25,6,4
9,4.910832905222054,12,12,25,6,4
9,4.910903476598103,11,13,25,6,4
9,4.911496194181525,11,13,25,7,5
9,4.9145466136045535,11,13,25,7,7
9,4.917937457418177,11,13,25,6,6
9,4.92576969219822,12,12,25,6,6
9,4.926967584037754,11,13,25,6,6
9,4.9277212640980075,12,12,25,6,6
9,4.933740920434387,12,12,25,6,8
9,4.935302986424689,12,12,25,6,10
9,4.940697879624936,12,12,25,6,8
9,4.940981440669366,11,13,25,6,8
9,4.941526056100409,12,12,25,6,8
9,4.943559827514337,11,13,25,6,8
9,4.948364147657203,11,13,25,5,7
9,4.950961086382238,12,12,25,5,7
9,4.955252815099699,11,13,25,5,7
9,4.9552791270944585,10,14,25,5,7
9,4.960063041253864,11,13,25,5,7
9,4.9624300129658065,10,14,25,5,7
9,4.96516122679803,11,13,25,5,7
9,4.965856957684661,10,14,25,5,7
9,4.970475789225892,10,14,25,5,9
9,4.97571012145269,10,14,25,4,8
9,4.980819818679253,11,13,25,4,8
9,4.9842267189253375,11,13,25,4,6
9,5.01108928862073,11,13,25,4,8
9,5.013232739883205,12,12,25,4,8
9,5.017300743683232,11,13,25,4,8
9,5.020751393777555,10,14,25,4,8
9,5.025900142638116,10,14,25,3,7
9,5.031437047144609,10,14,25,3,9
9,5.033326178452234,9,15,25,3,9
9,5.033381467406455,10,14,25,3,9
9,5.039468454411631,9,15,25,3,9
9,5.040274028358884,8,16,25,3,9
9,5.0423028612609695,8,16,25,3,7
9,5.048538912842713,9,15,25,3,7
9,5.066285253058748,9,15,25,3,5
9,5.068188408108256,10,14,25,3,5
9,5.06915803126532,11,13,25,3,5
9,5.070463203331698,11,13,25,3,7
9,5.081200514824482,11,13,25,3,5
9,5.094003939865744,10,14,25,3,5
9,5.098007880681055,11,13,25,3,5
9,5.098117687170051,12,12,25,3,5
9,5.098678979086726,12,12,25,4,6
9,5.105059231862727,12,12,25,3,5
9,5.107586030772041,12,12,25,5,5
9,5.111231806719476,12,12,25,7,5
9,5.112640386226879,13,11,25,7,5
9,5.117902780775556,14,10,25,7,5
9,5.121867741064465,15,9,25,7,5
9,5.1249327521143995,16,8,25,7,5
9,5.129105475671959,17,7,25,7,5
9,5.1296959137404405,17,7,25,7,7
9,5.130298611010591,17,7,25,7,5
9,5.13077624915065,17,7,25,7,7
9,5.133104493944506,17,7,25,6,6
9,5.133585903825974,17,7,25,6,4
9,5.133696297917971,18,6,25,6,4
9,5.1346021178498855,19,5,25,6,4
9,5.134921161210316,18,6,25,6,4
9,5.13785063671552,17,7,25,6,4
